ID,Name,Review,Instagram,Netflix,Prime,Year,Director,Lead,Acting,Story,Execution,Profundity,Overall,Poster,Genre1,Genre2,Trailer
33,Kimi no Na wa,"I thought that this would be the last movie I would ever see as all the genres associated with this are so cheesy! - young adult love story topping it off is the fact that it's an anime. But oh man have I ever not regretted that decision! It is thoroughly charming, gently comic; this is the story of a boy and a girl whose body get's exchanged and their tale of trying to meet each other. But fate has other plans. It is wonderfully executed. Each scene comes across as something out of an art gallery! The fact that it is the highest grossing anime film yet is attributed to impeccable story writing which leaves you emotionally satisfied. A bit of a mindbender too which gives the viewer a breather from the romance in it. When the tipping point in story comes, it will bowl you over (like you've been struck by a meteor!) and by the end, it is garunteed to leave a smile on your face and tears in your eyes. ",1,0,0,2016,Makoto Shinkai,NA,NA,4.3,3.8,3.6,3.9,kimi no na wa.jpg,Animated,Romance,https://www.youtube.com/watch?v=xU47nhruN-Q
34,The Handmaiden,"I would like to catagorise this movie amongst the realms of 'close but no cigar'. Started of well, provided an amazing turn in the middle and was on it's way to achieve a masterclass climax. The setting is done like nothing ever seen before! The perfect mix of 17th century old Japan with roots to the British empire. There's a generous amount of nudity and eroticism within the movie (so yeah definitely not a family movie!). The errie soundtrack with an almost perfect storyline shoots this almost to the heights of Parasite (another masterpiece from the Korean Cinema). The movie creates the perfect sense of suspense and had it not been for a bit predictable ending (coupled with some unnecessarily long erotic sequences) this movie would've been on a whole different level. But it wasn't selected for the Palme D'Or for nothing! The movie will keep you in a hold for a majority of time, so if you want to watch a thriller suspense with backdrop like that of The Favourite, this one should just do it.",1,0,0,2016,Park Chan-wook,Min-hee Kim,2.4,3.5,3.7,1.2,2.78,handmaiden.jpg,Thriller,International,https://www.youtube.com/watch?v=whldChqCsYk
35,"I, Tonya","A powerhouse of a film. The reason this movie went under the radar of many despite the star power of Margot Robbie would be because of potentially portraying Tonya Harding, a controversial figure herself in a light which many might not agree with. But simply no one can take away the absolute peach of acting by Margot. Looking back at this movie, no one comes to mind who could better project a strong, rough red neck who despite having her life riddled with abuse continue to keep up her bravado and march on. The scene where she tries to put a smile on her face despite having an immense desire to cry is enough to make Joaquin Pheonix proud! That is the level of acting we are talking. If you know the actual controversy surrounding Tonya Harding, this movie won't provide much of an insight, but if not, this seems like a good place to dip your feet into one of the shocking moments of figure skating.",1,0,0,2018,Craig Gillespie,"Margot Robbie, Sebastian Stan",3.9,2.4,2.3,1.5,2.52,tonya.jpg,Drama,True Story,https://www.youtube.com/watch?v=OXZQ5DfSAAc
36,Mulholland Drive,"What an acid trip of a movie this is! As it is typical of David Lynch's movies the story starts without any fuss or giving any time to settle and often relies on the viewer to piece ones and twos together rather than explain it explicitly. But they manner the script completely flips by the end seems almost there are two stories going on in the movie! It shows how easy it is to loose your mind in the challenging environment of hollywood. It is the stuff dreams and dillusion are made of and is the movie which we are trying to decipher to this date even! I would like to say here that Lynch tried to pull off what Kubrick did with 2001; leving the story open-ended. Although he did not reach the same level as Kubrick's masterpiece did in that manner, I would still say, he did one hell of a job. I strongly suggest people to read more about it's ending once you've seen it as it definitely ain't easy to get it all in one go. But once you do, man-oh-man, your mind would blow apart and slowly realize what a masterpiece from Lynch this is!",1,0,0,2001,David Lynch,"Naomi Watts, Laura Harring",2.5,4.1,3.7,2.2,3.2,mulholland.jpg,Thriller,Meta,https://www.youtube.com/watch?v=jbZJ487oJlY
37,Moonrise Kingdom,"Ah, Wes Anderson and his warm and poignant movies full of his idiosyncratic views are always a fun to watch. As his trademark this movie too is something out of a child's story book. There are wide angle shots with almost no sudden cuts, often ridiculous use of CGI (knowingly so as to emphasise the feel of watching a fantasy story unfold!) with the characters being innocent and whimsical. The movie starts with a shade of The Blue Lagoon to it's tail and feels a bit cheeky. But it wears you down slowly to the point that you would feel dissapointed that it ends as it offers an escape from your regular movies. I wouldn't go so far as to say that it is at the level of The Grand Budapest Hotel (that was one-in-a-million movie) but you could certainly see how this movie proved to be the penultimate step towards horning his cinematic skills for THAT masterpiece. All-in-all, don't give this movie too much thought, just sit back, relax and let Wes take you on a journey to the fairy tale land.",1,0,0,2012,Wes Anderson,"Kara Heyward, Jared Gilman",2.3,3.4,3.9,2.6,3.1,moonrise.jpg,Comedy,Romance,https://www.youtube.com/watch?v=_eOI3AamSm8
38,"Synecdoche, New York","""It is a play about dating. It's not a play just about death. It's about everything. Dating, birth, death, life, family...."". As with his previous films, Adaptation and The Eternal Sunshine of the Spotless Mind, I had the uneasy feeling that one single idea was being extruded to an excessive length, but this movie's crazy emotional intensity and ambition really punched my lights out. For his directorial debut, the screenwriter Charlie Kaufman has outdone himself, for good. Truly a master piece, with motifs hidden in dialogues that blow your mind, yet seem so familiar. The film itself seems to be alive and adapting (and it is!), just like human life. It's an experience of someone’s (everyone’s) thoughts, misery, views like never before. Obviously a must watch.",1,0,0,2008,Charlie Kaufman,Philip Seymour Hoffman,3.1,3.3,3.4,2.8,3.2,synecdocheNY.jpg,Comedy,Drama,https://www.youtube.com/watch?v=XIizh6nYnTU
39,12 Angry Men,"It feels almost sureal that a movie which was directed almost 50 years ago about a court room drama still resonates as on of the finest films of the 20th century. It features how 12 jurors are tasked with giving the final verdict on whether a boy is guilty or not after looking at the evidence. The case seema fairly straight forward but one of them feels that they aren't looking at it closely. What follows is his efforts to look at the case objectively and eventually convinece the other 11 men the other way around. The filming takes completely in one room which makes it very hard for the director to not make the film feel static or even induce a feeling of claustrophobia within the viewers. Each of 12 men were associated with a distinct traight who preformed to the level that it makes the movie feel not just a discussion with 12 average Joes even though their background was such! Overall, if you can get over the fact that it's a BnW film, I suggest you do give it a watch. On other hand, even if you aren't, do watch it. Rotten Tomatoes haven't given it a 100% rating for nothing!",1,0,0,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",3.6,4,3.4,3.8,3.7,12 angry men.jpg,Drama,Thriller,https://www.youtube.com/watch?v=_13J_9B5jEk
40,The Lighthouse,"Set in the early 20th century, this is a movie of two men who are stuck at a lighthouse island and their gradual descent into madness. Robert Eggers very clearly flexes his impeccable sense of direction here. It creates an eerie sense of unsettling while keeping you drawn to the fantastic setting. What boosts this prospect is that the movie is shot in square frame and is in BnW. As all greate psychological thrillers, this too has a quite bit of symbolism which like I suggest in my previous reviews encourage you to read more about the movie after it ends to actually feel the message that the story writer wanted to send across. But what truely makes this a masterpiece is the oscar worthy acting by both Williem Defoe and Robert Pattinson (who may have have proved his mettle as an actor with this movie). They could easily have won an oscar (Defoe should've gotten for supporting actor imo) had it not been for a certain Joker. Overall this is powerfull watch which would dazzle you with it's acting, setting and symbolism rather than the story itself. Reserve it for those cold winter evenings and watch as it acts out the insanities and depravities of man when forced into isolation (hey!).",1,0,0,2019,Robert Eggers,"Robert Pattinson, Williem Defoe",4.4,3.2,4,2,3.4,lighthouse.jpg,Dark,Thriller,https://www.youtube.com/watch?v=Hyag7lR8CPA
41,The Shinning,"What more can be said about this movie! I mean seriously! One of the finnest of Kubrick's and that is a tall order to accomplish even by Kubrick himself! Everything is perfect about this movie. The setting - The Overlook during the winters, with it's narrow corridors and hypnotising carpets, check. Creepy side characters - the twins, naked old lady, check. And the acting - oh man, I don't think this movie would've got even half the recognition it gets had it not been the terrific acting by Jack Nicolson. The perfect level of insanity has been displayed by Nicolson with emphasis on each and every muscles of the face! The bar scene is enough to school some of the greats today! The Shining has set the benchmark for all psychological thrillers to come. But if you really want to take a feel of the story, I suggest you read the book (the film no doubt stands strong in it's own rights but still couldn't capture the true insanity that Jack Torrence faced as well as the book did). This movie has to be on your watch-before-you-die list!",1,1,0,1980,Stanley Kubrick,"Jack Nicholson, Shelly Duvall",4.3,3.9,3.7,2,3.5,shining.jpg,Thriller,Horror,https://www.youtube.com/watch?v=5Cb3ik6zP2I
42,Two Popes,"It takes a lot of guts to make a contemporary drama these days as they don't bode well with the public who wants a fast paced and gripping stories. Yet this movie stands out tall and strong. Led by the powerful starcast of Anthony Hopkins and Jonathan Pryce, it is the story of a dialogue discussion between a pope and a Cardinal with differing world views and how they reach to a conclusion. It won't provide you with any logical persuasion to watch it till the end, but the calm manner in which it has been depicted makes you almost float towards the end. It is a lighthearted drama which you could watch without having to put much of a thought into it. Not a must watch, but if you have a desire to watch something different, this could hit the palette just right!",1,1,0,2019,Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce",3.5,2.3,2.4,2.7,2.7,2 popes.jpg,Drama,Lighthearted,https://www.youtube.com/watch?v=T5OhkFY1PQE
43,Watchmen,"This movie has a love and hate relationship within it's viewer base. Those who haven't read the actual comic by Alan Moore, won't truly appreciate how wonderful this story is! I myself felt that Zack Snyder has done 100% justice to this movie by incorporating each and every element that's there in the comic and brought it to the movie. But that's what I felt prevented it from reaching the heights the movie was supposed to with such a spectacular story as one simply can't bring out the beauty that the comic exudes with its charm onto a screen. But Snyder gets full credits for it's execution. This movie may not have the best ratings but I've still included it here as a homage to the actual Watchmen comic book which was far ahead of it's time and is quite accurately regarded as the greatest comic ever written. So yeah, this one is more of a promotion for the comic book rather than the movie! But once you've read it, this movie is definitely a lot of fun to watch!",1,1,0,2009,Zack Snyder,"Patrick Wilson, Carla Gugino",2.3,3.6,3.2,1.3,2.6,watchmen.png,Thriller,Crime,https://www.youtube.com/watch?v=wglmbroElU0
44,Gone Girl,"David Fincher is at the top of his game in this rollercoster of a movie! Surgically precise, we come to experience top drawer acting  from Ben Affleck and of course, the lead Rosamund Pike. This psychological thriller drama has everything in it as we come to expect from a psycho thriller - a bit bent character (very craft fully played as the estranged wife of Nick Dune (Ben Affleck) by Rosamund Pike), a guersome murder of an innocent bystander to spice things up, the often comical and hypocritical portrayal of the society to set the eerie environment. And of course, as is a trademark of all Fincher's movies- an ending without a closure often leaving you hanging but with a sense of high! Fincher has set the benchmark for psycho thriller out there and it seems unlikely that anyone would surpass it any time soon.",1,1,0,2014,David Fincher,"Rosamund Pike, Ben Affleck",3.3,3.5,2.8,2.4,3,gone girl.jpg,Thriller,Dark,https://www.youtube.com/watch?v=2-_-1nJf8Vg&ab_channel=20thCenturyStudios
45,The Social Network,"Biographic movies are a tough nut to crack. If you overdoo it- it becomes a propaganda film; underdoo it and it feels like a boring documentry. But David Fincher absolutely nails it in this movie! As the name suggest, this is a biopic on Mark Zuckerberg and how he started Facebook out of a dorm room.This movie represents the epitome of modern fact-based filmaking. It is fast paced, entertaining and the best part is that if focuses more on the life of Zuckerberg rather than Facebook which makes a far better topic for discussing. Jesse Eisenberg plays the role to perfection and I can't imagine a better person to portray the eccentric entreprenuer that Zukerberg is.",1,1,1,2010,David Fincher,"Jesse Eisenberg, Andrew Garfield",2.8,2.7,2.4,2.4,2.6,social network.jpg,Drama,True Story,https://www.youtube.com/watch?v=lB95KLmpLR4&ab_channel=SonyPicturesEntertainment
46,Crystal Swan,"Before you start reading this review, just so you know, this movie is a 100% rated on rotten tomatoes - which says a lot about this film and raises the question of why it went under everyone's radar!? This is a belarussian film set in the 1980s where an aspiring DJ plans to go to US to escape her boring routine and do something she actually likes. But a small typo in her visa application creates problems and she has to go some distance (literally!) to ensure that everything functions smoothly. A pretty straight-forward plot. But what makes this an exquisite watch is that the director has absolutely nailed in showcasing the hoplessness and desperation in one's eyes when he/she senses an oportunity of a better life which seems to slipping from their grasp. As a foreign viewer, it totally bowls you over giving insight into the daily lives of the smaller towns in the eastern block of Europe. And credit where it is deserved- the acting by the lead actress is phenomenal and she totally encapsules what the director wanted to showcase. Despite this tremendous performance, it still surprises me why is she so unknown! But all in all this is a must watch film and I don't throw that word around lightly! The specialty about this is that it proves that the mundanity of everyday life can provide a remedy to the everyday wretchedness. Simply stunning.",1,0,0,2018,Darya Zyuk,"Alina Nasibullina ,Yuiry Borisov",3.8,3.4,2.6,3.5,3.35,crystal.jpg,Lighthearted,International,https://www.youtube.com/watch?v=KatDlbBkcwg
47,Hereditry,"Wow, this movie so horrifying yet satisfying! Nothing less is expected from Ari Aster tho. What differentiates this movie from other typical horror genere is that it actually has a credibe storyline and not just a random family moving into a haunted house with no care. Aster very skillfully inducts human emotions such as grief, trauma, yearning for normalancy with the horror elements which gives it a nice human touch thus making it more believeable. Of course the horror portion has got the perfect mix of jumpscares, gore and mind benders. Not only the setting to the story is well written, but the complete story written is very well explained inturn adding a genre of thriller/suspense to the movie as well. The gore mind you may seem a bit much to some viewers but it all adds to the setting and not just for the 'kick'. Overall, if you're tired of watching the same old storyline in horror movies, this one would give a suprsing yet welcoming change of taste.",1,0,0,2018,Ari Aster,"Toni Collete, Alex Wolff",3.3,3.9,3,1.3,2.9,hereditry.png,Dark,Horror,https://www.youtube.com/watch?v=V6wWKNij_1M
48,Coco,"Such a heartwarming movie this is! No wonder it got an Oscar for best animated film! It's about an aspiring musician Miguel, who is confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer. the charcters are all quirky yet have a depth to them thus it doesn't feel like watching 'just-another-kiddie-movie'! The story is wonderfully written with perfect highs and lows and a point perfect of a climax which will sure to leave you in tears! Don't make the mistake of dismissing this movie as 'movies I am too mature for! It has a lot to offer and will completely justify the time you spend on it!",1,1,0,2017,Lee Unkirch,NA,NA,3.5,2.4,3.3,3.1,coco.png,Animated,Lighthearted,https://www.youtube.com/watch?v=Ga6RYejo6Hk
49,Nightcrawler,"A real blockbuster of a movie this is! It basically revolves around a con man Lou Bloom who is desperate for work and stumbles upon the high octane job of video journalism and in his bid to get to the top, the lines become blurry between being an observer to the crime and being a participant himself so as to become the star of his own story. The acting by Jake Gyllenhaal portraits the perfectly efficient psycho that the story demands. The nocturnal underbelly of LA provides the setting for this film and includes some good chase sequences and a no-nonsense approcah to the storyline. Overall, grab some popcorn and turn down the lights. This movie here is a full on thriller entertainment.",1,1,0,2014,Dan Gilroy,"Jake Gyllenhall, Rene Russo",3.1,3.2,2.8,1.3,2.6,nightcrawler.jpg,Thriller,Crime,https://www.youtube.com/watch?v=u1uP_8VJkDQ
50,Take me somewhere nice,"If the quote- 'It's the journey and not the destination that matters' is adjoined to a movie, this one might be it. It is about a teenage dutch girl who sets out on a journey in Bosina (her hometown but had to flee due to war) to find her father who's been terminally ill. Accompanying her are her cousin and his accquiantance. Not your essential road-trip movie, but it provides a youthful perspective to matters. The beauty here lies more in the complex dynamics between the 3 rather than the story itself. But the main selling point for me here is the magnificant cinematography- use of soft yet vivid colours, shooting in tight angles so as to just capture the essence, the 4:3 aspect ratio really adds to the setting. Also, the film does not feature any pan shots and has very few instances of having a background score- thus giving it a realistic feel. All-in-all, this dutch movie might not be for everyone, but it certainly provides a fresh outlook on the genre of movies whose center focus is travel/",1,0,0,2019,Ena Sendijarevic,Sara Luna Zoic,2.6,2.3,3.8,2.4,2.75,somewhere nice.jpg,Romance,International,https://www.youtube.com/watch?v=ccD2vK47RK8
51,1917,"A tour-de-force of a film this is! Making a war film always requires a humongous budget because of the sheer size, special effects and a pelothra of side actors. Not to mention the amount of time and work it must take to make it as realistic as possible. And 1917 comes as close to realism as any war movie possibly can! It portrays the life in the trenches during WW1 and the risks and hazards that the soldier must undertake. It has been made as a single shot movie (and thus commands greater respect as to how could Sam mendes possible shoot scenes in such narrow trenches!) The film also has beautiful instances of humanity and takes necessary pauses whereever required. The detailing is immaculate and really transports you to that erra and the cinematography makes you resonates with what the soldiers are feeling mentally. This is a must watch movie for the war-movie enthusiats out there!",1,0,0,2020,Sam Mendes,"George MacKay, Dean-Charles Chapman",3.3,3.7,4.4,2.3,3.42,1917.jpg,War,True Story,https://www.youtube.com/watch?v=gZjQROMAh_s
52,Get Out,"The biggest mindbender of a movie on 2017 (possibly the decade?). You will never anticipate the ending in a million years! It is that good! The movie starts creating a sense of errieness and continuously gives off unsettling vibes. In the majority of the movie everyone's smilling but there's a constant sense of impending doom. The acting by Daniel Kaayula is just spectacular and at no point would you ever want to leave your seat! What makes this such a spectacular psychological horror is that this movie won't mess around with your brain. The clues are wide open for all to see. The thrill here would rather be the greater picture that these clues point to. It invovles Chris who has been invited to he girlfirend's parent's house for a party but slowly discovers there's a far sinister purpose to his visit. Even if you are a fan of horror/thriller or not, this is a must watch!",1,1,0,2017,Jordan Peel,"Daniel Kaluuya, Allison Williams",3.4,3.9,2.4,1.7,3,get out.png,Dark,Thriller,https://www.youtube.com/watch?v=DzfpyUB60YY
53,Jojo Rabbit,"This movie at times feels like is directed by Wes Anderson. Although there's no wide angle shots or audacious use of CGI, there seems to be a similiar satirical view to how the story develops. It starts with the kind of innocent comedy that's often portrayed in child's book. It takes a dark turn midway giving a reminiscent of The Boy in the Stripped Pyjamas but almost seamlessly transitions back to a warm ending giving a sense of closure. Viewing this movie in a child's perspective movie would give you a better sense of the film as only then would one go into the mind of a 10 years old Nazi fanatic. The best part of this film is that it never crosses the line between being a warm, feel-good movie and being a cheesy movie. The movie absolutely mocks the Nazi regiment while showing the colours of friendship and hope and joy during those dull times. Overall, this movie won't stirr up anything within you, but will certainly leave you with a smile on your face.",1,0,0,2019,Taika Waititi,"Roman Davis, Thomasin McKenzie",2.7,2.8,2.6,2.4,2.6,jojo rabbit.jpg,Comedy,Fantasy,https://www.youtube.com/watch?v=tL4McUzXfFI&ab_channel=SearchlightPictures
54,Goodnight Mommy,"An Austrian psychological horror movie which might be for every horror movie fan out there. It's a bit slow in the first half and small scare when compared to what we've seen in Hereditry or Midsommar. But the slow buildup certainly pays dividends as the twist is worth every second spent! The errie setting with virtually no background score creates a perfect unsetteling setting. There are a few scenes which might suggest it will lead upto the typical jumpscare based horror with demon/ghost as the driving force. There's almost no way one could guess what twist the ending would bring as the transitions are so subtle it almost feels artistic! Few scenes makes you wanna look away but there's something strange about the way it compels you to keep on watching! Overall, this is a must watch for psychological-horror fans out there. Certainly a complelling movie with a near perfect ending!",1,0,0,2015,Veronika Franz,"Susanne Wuest, Elias and Lukas Schwarz",2.3,3.2,3,1.3,2.45,goodnight mommy.jpg,International,Horror,https://www.youtube.com/watch?v=DzSsE5t7JNk&ab_channel=ZeroMedia
55,Eraserhead,"If you thought that 2001: a space odessey was a mind bender, you won't even know what hit you in this movie! It's a completely meta film with tons of symbolism. It follows the life of Henry, who's on 'vacation' and is out of the blue tasked by his ex-girlfriend's mom to marry her daughter and take care of the hideously looking baby. What ensures is Henry completely loosing his mind and a hold of reality. Lynch has tried to literally showcase what a nighmare feels like. The setting is completely nightmarish (remember this word as a lot of clues are in itself) where everything is there where it supposed to be... and still seems out of place! There's no storyline, rather a compelling journey into Henry's mind. The environment is horrifying, yet has a beautiful undertone to it. There's silence to many sequences but an unnerving feel to it. Trust me if you're not a fan of meta movies, you would think of this movie as a complete waste of time. But if you look at the movie; not as a viewer but as Henry himself and pick up the subtle clues, this is according to me, the finest movie by David Lynch. First time you watch,  you will dismiss it as a nonsensical movie. But it will hold onto you, even after you watch it. compelling you to think hard about it. And once you figure out the secret key, not only will you laud David Lynch to direct this masterpiece as his debut film, but would realize how far ahead of it's time was this movie!",1,0,0,1978,David Lynch,Jack Nance,2.5,4.4,4,2.7,3.4,eraserhead.jpg,Dark,Meta,https://www.youtube.com/watch?v=oK-2_OsBe0s
56,Modern Times,"Some movies are a timeless masterpiece and even though the word 'classic' now has lost it's relevence, this movie still stands high and tall. The story revolves around our beloved tramp, who struggles to find his feet in a city, where jobs are scare due to the rise of automation (sounds familiar?) but yet manages to find the beauty in it. Even though slapstick comedy is a thing of the past, this one still manages to make you laugh to this date because it is not just meaningless humor, but rather is a sharp attack and a mockery of the workings of the society itself. This movie's nomination here is thus more of a tribute to Charlie Chaplin himself, but the movie in itself has earned the righ to be recognized even without it's prodigious creator. That's the power and weight it holds.",1,0,0,1936,Charlie Chaplin,Charlie Chaplin,3.8,2.2,3.1,3,3,modern times.jpg,Comedy,Lighthearted,https://www.youtube.com/watch?v=GLeDdzGUTq0
57,Us,"Rolling out the next big psycho horror movie after his amazing jewel of a movie - Get Out, it was always going to be an uphill task for Jordan Peel. The expectations were sky high and the trailer/teaser looked very very promising. But I felt maybe that's what might have prevented me from enjoying this movie. What Peel aimed to invigorate within his viewers was the sense of humbleness by leaving you unsusre about your place within the universe; but it rather left left us a bit wanting and a confused feeling without any closure. The base story was extremely good and the acting by a few of the characters genuinely made us feel unsettled.  While I felt the ending could have been navigated in a manner which would leave us hanging as well as have a decent closure. But this would be one of those movies which I would suggest not to take my word on it as it has a huge fan base within the critics as well as the average viewers. So I rather leave it up to you to watch it and decide it for yourself.",1,0,0,2019,Jordan Peel,Lupita Nyong'o,2.8,2.7,3.1,1.8,2.6,us.png,Dark,Horror,https://www.youtube.com/watch?v=hNCmb-4oXJA
58,Ghost in the Shell,"Maybe the only movie (after the legendry Akira) to have started the cyberpunk movement. And no I am not talking about the ScarJo adaptation but rather the good old Anime movie from 1995. And I'll be a bit biased here as I am a huge cyberpunk fan. This movie has such a legendry status amongst the world of 'anime-films' is because of two reasosn. Firstly is the manner in which the creators had planned the ladscape in such a detailed and beautiful manner that it is impossible for anyone not to like it! Every scene in this film is wallpaper worthy. And the secod reason being that the storyline was so ahead of it's time - mixing advanced AI with crime and also questioning the very conscious of oneself; is the first time it was introduced to cinema. A theme which may now seem a bit run down but at that time was just mind-boggling and all the related stoylines we see now has in some form or the other drawn inspiration from this. If you are an anime fan, this should be on your watchlist. Simply marvelous.",1,0,0,1995,Mamoru Oshii,NA,NA,3.5,3.2,1.7,2.7,ghost in the shell.jpg,Animated,Sci-Fi,https://www.youtube.com/watch?v=G4VmJcZR0Yg
59,No country for old men,"This movie is the perfect embodiment of the notion that the raw power of old school thriller still remains undiminished. It follows a game o cat and mouse between a war veteren and a psychotic killer (played to near perfection by Javier Bardem, who should get a lot more recognition for this role). It represents the Coen brothers at the peak of their powers. The raw wild-west backdrop of New Mexico with delicate shots and quite cleverly not using background score for action sequences gives this movie a more human feel (and hence the rawness). But it is not just mindless chase sequences. We also see polarizing characters which the Coen brothers have used many elements to give them a more three dimensional characters thus giving them depth and more meaning to their involvment with the story. Also, the storyline does not have your typical hero outsmarting the villain backdrop. Rather both seem equally formidable and equally weak thereby making them as realistic as possible. So to conclude, if I would have to describe this movie in one word, that would be (and you might've guessed by now) - raw. A must watch.",1,1,0,2007,Coen Brothers,"Javier Bardem, Josh Brolin",3.5,3.3,2.9,2.4,3.1,no country for old men.jpg,Thriller,Crime,https://www.youtube.com/watch?v=38A__WT3-o0&ab_channel=MovieclipsClassicTrailers
60,Ratatouille,"Oh what can I say about this movie! My personal favourite amongst the animated category, Ratatouille is a movie for which you would long to come for more and more. It's a dish for which you would always have an appetite for (pun intended). The concept is hilarious yet heartwarming. The characters are flawed, yet there's a certain sense of relating to their emotions.Unlike other animated movies which exhausts you with jokes and elements that are too over-the-top, Ratatouille paves way for a proper storytelling to take place. It allows for characters to breath and undergo complex transformations. But it does it in so gentle and in a comic manner, that you can't help ut fall in love withthis movie. This indie-animated movie is one for the ages!",1,1,0,2007,Brad Bird,NA,NA,3.5,2.8,2.8,3.3,ratatouille.png,Animated,Lighthearted,https://www.youtube.com/watch?v=NgsQ8mVkN8w&ab_channel=MovieclipsClassicTrailers
61,Munich,"Based on a true story, this is a film about how the Mossad tracked down each and every criminal who killed and massacared the israeli athletes during the 1972 munich olympics. It is a slamming entertainment filled with dazzling set pieces and camera work. There's never a dull moment and the strory pics up the pace right from the start. The plot is extremely good for a thriller movie with the few extra elements (apart from the actual description so as to add to the theatrics) fit in perfectly and doesn't seem over the top. There's not much to say here really as the plot itself is so powerful to carry the film on it's own. Overall, this an amazingly entertaining movie, so if you feel like watching a good'ol thriller chase/action, there's no need to look beyond this. Top class.",1,1,1,2006,Steven Spielberg,"Eric Bana, Daniel Craig",2.6,3.4,2.9,1.2,2.6,munich.jpg,Thriller,True Story,https://www.youtube.com/watch?v=feIjYUEWVxk
62,The Hurt Locker,"One of the finest war movies out there in my opinion! It revolves around the lives of american soldiers (bomb specialists especially) who have been deployed in Iraq. It showcases the nightmarish world of modern warfare from both the innocent civilians and the terrorist's perspective. It also dewels into the mindset of the soldiers who have seen and taken part in the attrocities of war, and how that eventually affects thier life and their loved ones. Fantastic cinematography coupled with engaging direction proves to show that movies with such serious undertone also have the caliber to be entertaining. The background score also is very skillfully set so as to create the tense environment required. Overall, if you wish to watch a meaningfull movie which has the potential to act as an eye-opener for us 'common people', can't think of a better film than this.",1,0,1,2009,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie",3.8,3.6,3.6,3.4,3.6,hurt locker.png,War,Drama,https://www.youtube.com/watch?v=AIbFvqFYRT4
63,American Hustle,"It is quite remarkable that despite having probably the most ambitious starcast ever, this movie managed to remain intact and not explode! Each actor played thier character to perfection thus creating the perfect harmony to carry forward the movie. It is a rich and a glorious mess, the effect enhanced by the complex relationships between the characters who in themselves have distinctive and jingling traits. So far as the storyline is concerd, it may not rank amongst the top 10 con movies, but it certainly provides a bang for a buck in terms of literal entertainment value. What makes it different from the usual con films is that it uses human relations not as a plot in itself, but rather an independent entity giving it a more human approach. This one would surely not dissapoint you if you're tired of rewatching Ocean's Eleven!",0,1,0,2013,David O. Russell,"Christian Bale, Bradley Cooper",2.7,3.2,2.5,1.7,2.52,American Hustle.jpg,Con,Thriller,https://www.youtube.com/watch?v=ST7a1aK_lG0
64,Casino Royale,"Ah, the good old Bond film with the guns, gadgets, breath-taking women and a villain with the world domination plan. There was no doubt that a Bond film would earn it's spot on this list sooner or later. The question was, which one? Answer - Casino Royale. It starts off with arguably the best chase sequence you are ever going to see and follows from that in a very sequential manner. The whole plot (unlike the trademark of Bond films) is actually very realistic which adds to the thrill. Daniel Craig (in my opinion) takes away the bearth as the best actor to be casted as Bond. The whole plot is very gripping and paves way for a more humane bond with feelings rather than the sterotypical ones that were portrayed before. There's not much to say about this really and I am sure most of the people have already watched this movie. But this one still remains as one of the best Bond films ever.",0,0,0,2006,Martin Campbell,"Daniel Craig, Eva Green",2.8,3.2,3.3,1.1,2.6,casino royale.jpg,Thriller,Action,https://www.youtube.com/watch?v=36mnx8dBbGE
65,The Girl with the Dragon Tattoo,"Based on the english adaptation of the popular Stieg Larson Novel with the same name,  this movie has everything that a proper thriller asks for- a disgruntled detective, a wealthy family with internal feuds and motives, a mysterious character, all set in the errie backdrop of a scandanavian country. This is one of those movies that did proper justice to bringing a novel onto the cinema screen. Though this movie did not create much fanfare amongst the cinema-goers upon it's release, it certainly provides a bang for the buck. The pace is very steady and every twist an turn comes with proper and believeable explanations. Though the ending might seem a bit predictable (thus maybe not the thriller with the best climax) but the build-up to it is certainly worth it! All in all, if you want to watch a thriller without much gore or bloodshed this certainly fits the bill.",0,0,0,2011,David Fincher,"Daniel Craig, Rooney Mara",2.4,2.8,2.7,1.2,2.3,dragon tattoo.jpg,Thriller,Crime,https://www.youtube.com/watch?v=DqQe3OrsMKI
66,Psycho,"Ah, probably one of the most celebrated horror films out there. Movie when you see it now doesn't provide that much of a kick when you expect to watch a horror-thriller and in many ways feels quite slow to be honest. But one must also take into consideration that this movie was released in 1960 during which the everyday life was vastly different. The slowness of the movie is a result of how laid back life was back then as compared to today. And plus the horror elements were awefully rudimentry as what we have today. But this movie deserves a special mention in this coulmns as prior to this, all movies with the horror tag always involved ghosts or demons. This was probably the first successful horror film that used more of it's settings and the psychological elements of a thriller genre than the typically associated tropes. It is the one which paved the way for the 'psycho-thrillers' such as Get Out. You probably would get bored watching this (although the story certainly is very finely written), but had it not been for this movie, the horror genre would still be just ghosts running around in white bedcloth.",0,1,0,1960,Alfred Hitchcock,"Anthony Perkins, Vera Miles",3.4,3.2,2.3,1.5,2.6,psycho.png,Thriller,Horror,https://www.youtube.com/watch?v=Wz719b9QUqY
